colour subNo block index seqDur seqDurTag nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI stdLowbound stdUpbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 IOI10 IOI11 IOI12 
masterclass 3.0000 5.0000 15.0000 11.0000 2.0000 11.0000 10.0000 2.0000 0.0921 0.2503 2.5033 0.0500 0.0900 m 0.1240 2.7533 1.5242 4.2624 0.3749 0.1825 0.1568 0.2556 0.1612 0.3861 0.3535 0.1625 0.2682 0.2020 0.0000 0.0000 
masterclass 3.0000 5.0000 4.0000 5.0000 1.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0500 0.0900 m 0.1180 1.2500 1.7129 2.9592 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0923 0.2496 2.2464 0.0500 0.0900 m 0.1360 2.4964 1.5249 4.0054 0.1700 0.3369 0.1513 0.3860 0.2597 0.1744 0.3701 0.2146 0.1834 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 5.0000 5.0000 1.0000 5.0000 4.0000 1.0000 0.0482 0.2494 0.9974 0.0500 0.0900 m 0.1420 1.2474 1.6264 2.8732 0.2053 0.2528 0.2240 0.3154 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 13.0000 11.0000 2.0000 11.0000 10.0000 0.0000 0.0000 0.2500 2.5000 0.0500 0.0900 m 0.1320 2.7500 1.6823 4.4259 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
masterclass 3.0000 5.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0496 0.2498 2.7483 0.0500 0.0900 m 0.1400 2.9983 1.5242 4.5074 0.2532 0.2191 0.3424 0.2826 0.1981 0.2514 0.2879 0.2140 0.1747 0.2265 0.2985 0.0000 
masterclass 3.0000 5.0000 1.0000 4.0000 1.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0500 0.0900 m 0.1280 1.0000 1.7373 2.7259 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 2.0000 4.0000 1.0000 4.0000 3.0000 1.0000 0.0393 0.2513 0.7540 0.0500 0.0900 m 0.1060 1.0040 1.6150 2.6131 0.2878 0.2097 0.2566 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 6.0000 5.0000 1.0000 5.0000 4.0000 2.0000 0.0901 0.2509 1.0034 0.0500 0.0900 m 0.1240 1.2534 1.5401 2.7791 0.1930 0.3838 0.1971 0.2295 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 5.0000 18.0000 12.0000 2.0000 12.0000 11.0000 2.0000 0.0923 0.2504 2.7546 0.0500 0.0900 m 0.1160 3.0046 1.5051 4.4969 0.2004 0.3781 0.1651 0.3184 0.2244 0.1558 0.2640 0.1602 0.3839 0.1555 0.3488 0.0000 
